,label,review
3268,1,昨天太忙没时间来评语，分量足，味道是我全家喜欢的，价格实惠，赞赞赞赞赞，骑士哥也非常给力。
2639,1,豆浆撒的有点儿严重……
7837,0,有点辣，送餐慢！
8483,0,说了不要辣还是辣的！
2851,1,快递小哥非得常快！
8661,0,"皮太硬啦～,不好吃～"
3972,0,2小时配送？每次配送都这么慢！你们要好好想想了……
524,1,特别感谢快递小哥，让你久等了
3906,0,这麻酱做的是巨恶心
1495,1,"汤很好的说,送餐很快,棒棒da"
4988,0,米饭是有味儿了的………没法吃……扔掉了………
104,1,"还不错就是皮蛋粥,不好喝"
6343,0,差评，11点14订餐，13点20饭才到，2个小时才把我的午饭送到，而且还是打了2次客服电话，1次投诉电话才给送来，要是不打电话都不知道几点能吃上午饭？
2105,1,骑士精神~非常好！又快！！！
4828,0,"连续两次都不给筷子，还有,买了2盒王老吉,漏给我一盒-,-！算了吧,。"
84,1,送餐越来越快啦！
6887,0,很差，时间太短了，不好吃，
4096,0,菜有点少，米饭太多了。
9767,0,您的意见很重要！口味如何？服务怎样？来点评一下吧！
1592,1,特别好，送外卖的大哥服务也特别好！好吃！
8680,0,菜品做的不好
10467,0,订单不显示进展，一单追了两个小时。店里大姐态度极差
2963,1,第二次搞错了订单，我要的葱油面又被换成了小笼包，结果吃了两份小笼包撑死
4706,0,送来的太晚
2270,1,一如既往。不错哦。！！！！
7609,0,送餐太慢了。。10点多订的，现在还没送到。。。。
9386,0,菜的味道实在不怎么样
9471,0,蔬菜沙拉没送
3255,1,很棒。。很快。。很好吃
10658,0,"青椒水饺里没有青椒,全是大葱,吃了恶心"
3149,1,"挺好的,辛苦了"
7044,0,"超级恶心,取了半个小时,送了45分钟,不给打电话还不给送呢,张嘴就瞎话,说在楼底下了,出去等半天也没人,还差3分钟就半价了,早知道不尼玛给你打电话了,直接半价拉倒,星冰乐一点冰都没有了,奶油也全泡没了,咖啡也洒了点,最快一次一人13分钟送来了,你TM送了1个半小时,人比人得死,货比货得仍啊"
5759,0,要的两个三鲜，来了个茴香和西葫芦，能说什么呢
3617,0,真的佩服的五体投地什么人吧
5448,0,大排真是太少少少了……差点以为是猫粮
6214,0,要的可乐，送的雪碧，等四十多分钟，太慢了
2792,1,味道不错，速度还可以。
6364,0,"太咸,每次吃都咸"
9268,0,难喝，再也不会买了
10348,0,"配送人员很有素质,就是菜品太一般,宫爆鸡丁儿太甜了"
3831,0,9:24才收到我订的外卖，严重超时！汉堡已不热，只好微波加热后再食用，已变成了夜宵！食品与包装上的标识不符（两个汉堡的名字全不对），望商家能选用与食物一致的包装袋
1630,1,送餐巨快！态度超级好！面条好吃！就是花生米菠菜，花生太多了！本来想吃点菜的！
3884,0,说是半小时到，结果1个多小时才来，也没有减免送餐费
2026,1,等了两个半小时
1943,1,基本隔一天吃一次，小炒牛肉不错，吃不腻。
5153,0,肉太少，块小跟其他店差不多，就五六块可是很少.剩了一堆白饭，真浪费
8653,0,可能是送来没处理好也可能是我点的不好，总之送来的米线一股呕吐物的味道。。。闻了一下就扔了，没法吃
8611,0,口味还行，菜和米饭太少，送来的时候都是凉的
5794,0,尖椒土豆卷，全是土豆丝，大概有六七根尖椒丝，上次吃完没事，这次吃完拉肚子了，不知道是不是素拌饭的问题。
2552,1,送货超级快，服务超级好，一旦拥有别无所求
10317,0,芝士肉酱薯难吃至极
2485,1,菜还行，送餐的路不熟，一个小时才到
865,1,第二次下单，很不错。
9566,0,登了100多分钟，送餐用了2个小时
8505,0,口味不错，但尖椒太辣了，腊肉太少了！
8753,0,"送的太慢了,等了近两个小时。。。到的时候粥洒了一半"
4769,0,"味道一般,这就是面饼吧,送餐超级超级慢,饿死我了,定的12点送到结果12点40才到……醉了"
2293,1,"很棒,包装很好"
10463,0,没那么地道
2958,1,量大，味道也不错，性价比超高。
10347,0,菜品说实话很一般，比正一味差远了，送餐师傅很快，态度也好，天气很热辛苦了
573,1,百度外卖不错，
